Code No.,Course,L,T,P,C,Hours/Week,CIA,SEE,Total,Category
22CS403,OPERATING SYSTEMS,3,1,0,4,4,40,60,100,PC
22CS404,WEB TECHNOLOGY AND FRAMEWORKS,2,0,2,3,4,50,50,100,PC
22CS405,DATABASE MANAGEMENT SYSTEM,3,0,2,4,5,50,50,100,PC
22IT405,DATABASE MANAGEMENT SYSTEM,45,0,30,45,4,120,50,50,100,PC
22EE401,POWER GENERATION, TRANSMISSION AND DISTRIBUTION,3,1,0,4,4,40,60,100,PC
22EE402,ELECTRICAL MACHINES II,3,0,2,4,5,50,50,100,PC
22EE403,MEASUREMENT AND INSTRUMENTATION,3,0,2,4,5,50,50,100,PC
22EE404,DIGITAL LOGIC CIRCUIT DESIGN,3,0,2,4,5,50,50,100,PC
22EE405,EMBEDDED SYSTEMS,3,0,2,4,5,50,50,100,PC
22EI401,PROBABILITY, STATISTICS AND RANDOM PROCESS,3,1,0,4,4,40,60,100,BS
22EI402,SENSORS AND TRANSDUCER,3,0,2,4,5,50,50,100,PC
22EI403,ANALOG ELECTRONICS AND INTEGRATED CIRCUITS,3,0,2,4,5,50,50,100,PC
22EI404,COMMUNICATION ENGINEERING,3,0,0,3,3,40,60,100,PC
22EI405,EMBEDDED SYSTEMS,3,0,2,4,5,50,50,100,PC
22ME401,KINEMATICS AND DYNAMICS OF MACHINERY,2,1,2,4,5,50,50,100,PC
22MC401,PROBABILITY, STATISTICS AND RANDOM PROCESS,3,1,0,4,4,40,60,100,ES
22MC402,SENSORS AND TRANSDUCER,3,0,2,4,5,50,50,100,PC
22MC403,STRENGTH OF MATERIALS,2,1,2,4,5,50,50,100,PC
22MC404,THEORY OF MACHINES,3,0,2,4,5,50,50,100,PC
22MC405,EMBEDDED SYSTEM,3,0,2,4,5,50,50,100,PC
22MC013,ELECTRIC AND HYBRID VEHICLES,3,0,0,3,3,40,60,100,PE
22AG040,TECHNOLOGY OF SEED PROCESSING,3,0,0,3,3,40,60,100,PE
22AG401,CROP PRODUCTION TECHNOLOGY,3,0,2,4,5,50,50,100,PC
22AG402,HEAT AND MASS TRANSFER,3,0,2,4,5,50,50,100,PC
22AG403,STRENGTH OF MATERIALS,2,1,2,4,5,50,50,100,PC
22AG404,THEORY OF MACHINES,3,0,2,4,5,50,50,100,PC
22AG405,HYDROLOGY,3,1,0,4,4,40,60,100,PC
22AI401,APPLIED LINEAR ALGEBRA,45,15,0,60,4,120,40,60,100,ES
22AI043,PYTHON FOR DATA SCIENCE,45,0,0,45,3,90,40,60,100,PE
22EC404,CMOS DIGITAL INTEGRATED CIRCUITS,3,0,2,4,5,50,50,100,PC
22EC401,SIGNALS AND SYSTEMS,3,1,0,4,4,40,60,100,BS
22CB401,OPERATING SYSTEMS,3,0,2,4,5,50,50,100,PC
22CB402,SOFTWARE ENGINEERING,3,0,2,4,5,50,50,100,PC
22CB403,DESIGN AND ANALYSIS OF ALGORITHMS,3,0,2,4,5,50,50,100,PC
22CB404,DESIGN THINKING,3,0,0,3,3,40,60,100,PC
22CB405,OPERATIONS RESEARCH,2,0,2,3,4,50,50,100,ES
22CB406,MARKETING RESEARCH AND MARKETING MANAGEMENT,2,0,0,2,2,40,60,100,PC
